,0,1,2
755,3.25,10,"[33, 36]"
756,2.25,9,[33]
757,1.5,22,"[34, 37]"
758,2.25,21,"[31, 34]"
759,2.0,18,"[39, 45]"
760,2.0,14,"[16, 19]"
761,1.25,20,[22]
762,3.25,10,"[17, 41]"
763,7.25,4,"[11, 27]"
764,1.25,45,"[41, 47]"
765,2.25,40,"[31, 32]"
766,1.75,20,"[11, 42]"
767,5.0,17,"[25, 28]"
768,4.75,3,[22]
769,3.25,15,"[14, 19]"
770,3.25,9,[13]
771,2.25,13,"[13, 16]"
772,3.5,18,[24]
773,2.25,14,"[22, 47]"
774,3.5,17,"[11, 28]"
775,3.0,25,"[33, 36]"
776,3.25,14,"[12, 45]"
777,3.75,15,"[13, 16]"
778,5.0,11,"[18, 19]"
779,3.0,17,"[13, 16]"
780,2.75,32,"[33, 36]"
781,1.5,12,[37]
782,2.0,26,"[31, 34]"
783,3.25,12,"[14, 17]"
784,3.0,16,"[12, 15]"
785,4.75,18,"[12, 15, 18]"
786,3.25,15,"[32, 39]"
787,3.25,17,"[11, 14]"
788,2.25,17,"[21, 24]"
789,4.75,36,"[11, 14, 17]"
790,3.25,25,"[23, 26]"
791,2.5,15,"[23, 26]"
792,1.75,43,[35]
793,5.0,34,[26]
794,4.75,30,[15]
795,5.0,25,"[21, 24, 34, 37]"
796,2.5,31,"[11, 29]"
797,3.5,20,"[25, 38]"
798,5.0,15,[13]
799,4.25,19,"[13, 16, 19]"
800,2.0,12,"[29, 39]"
801,3.0,37,"[14, 33]"
802,6.75,5,"[14, 17]"
803,3.0,13,"[23, 38]"
804,3.75,19,"[36, 39]"
805,1.75,57,"[19, 41]"
806,4.75,7,"[31, 34]"
807,2.25,26,"[14, 21]"
808,4.5,15,"[25, 28]"
809,2.0,33,"[31, 43]"
810,4.75,25,"[19, 29]"
811,3.75,16,"[12, 15]"
812,2.5,18,"[11, 14, 17]"
813,4.0,13,"[19, 45]"
814,4.0,15,"[36, 39]"
815,2.75,31,"[12, 15]"
816,3.25,26,"[35, 36]"
817,3.75,21,[15]
818,1.75,14,"[32, 35, 38]"
819,2.75,20,"[35, 38]"
820,4.75,20,[13]
821,4.75,19,"[34, 37]"
822,3.75,11,"[36, 39]"
823,4.25,39,[15]
824,4.0,22,[26]
825,1.75,46,"[15, 18]"
826,3.5,9,"[13, 16]"
827,1.75,14,"[16, 19]"
828,4.25,22,"[25, 28]"
829,1.0,36,"[32, 35]"
830,3.25,9,"[21, 24, 27]"
831,3.0,16,"[15, 44]"
832,1.25,11,"[29, 43]"
833,3.75,31,"[19, 44]"
834,3.5,14,"[26, 29]"
835,3.25,11,"[24, 47]"
836,2.0,11,"[12, 46]"
837,1.5,12,"[12, 15]"
838,3.5,25,"[24, 27]"
839,3.5,24,[36]
840,5.0,14,"[16, 19]"
841,1.75,27,"[26, 29]"
842,1.75,23,"[39, 43]"
843,1.5,24,"[25, 28]"
844,3.25,24,[37]
845,2.5,38,"[12, 29]"
846,2.25,27,"[23, 26]"
847,3.5,18,[36]
848,3.0,25,"[11, 13]"
849,4.0,31,"[29, 36]"
850,1.25,33,"[19, 28]"
851,3.75,59,"[22, 25]"
852,3.25,24,"[35, 38]"
853,5.5,35,[33]
854,2.75,17,"[13, 16]"
855,3.25,32,[14]
856,1.25,23,"[32, 43]"
857,3.5,19,[35]
858,2.75,17,"[33, 36]"
